Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
;04-05-1999;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_04-05-1999_all_1.pdf;Decreto Dirigenziale del 04_05_1999
;05-08-2011;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_05-08-2011_all_1.pdf;Decreto Dirigenziale del 05_08_2011
;05-12-2011;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_05-12-2011_all_1.pdf;Decreto Dirigenziale del 05_12_2011
;07-01-2016;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_07-01-2016_all_1.pdf;Decreto Dirigenziale del 07_01_2016
98;07-04-2020;Decreto Dirigenziale;;1315;1;ITOLO;;M_DIP.TPL_.REGISTRO DECRETI(R).0000098.07-04-2020.pdf;Decreto Dirigenziale del 07_04_2020 N_ 98
122;07-05-2020;Decreto Dirigenziale;;1315;1;ITOLO;;DD TPL 122 del 07-05-2020 pag. maggio 2020.pdf;Decreto dirigenziale del 07_05_2020 n_ 122
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 - Istituzione del corso di addestramento radar A.R.P.A. - Bridge Teamwork - .pdf;Decreto Dirigenziale del 07_08_2001 - Istituzione
;07-08-2001;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_07-08-2001_navi_petrolifere.pdf;Decreto Dirigenziale del 07_08_2001 - Navi petroli
;07-08-2001;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_07-08-2001_Navi-passeggeri.pdf;Decreto Dirigenziale del 07_08_2001 Navi passegger
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 Istituzione corso familiariz navi cisterne.pdf;Decreto Dirigenziale del 07_08_2001- corso di fami
;07-08-2001;Decreto Dirigenziale;;;;;;D. D. 7 agosto 2001 gente di mare.pdf;Decreto Dirigenziale del 07_08_2001- gente di mare
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 - Modifica corso uso del radar osservatore normale.pdf;Decreto Dirigenziale del 07_08_2001- modifica cors
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 mod cert corso navi cisterne prodotti chimici.pdf;Decreto Dirigenziale del 07_08_2001- modifica cors
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 corso ARPA.pdf;Decreto Dirigenziale del 07_08_2001- modifica decr
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 Modifica attestato chimichiere.pdf;Decreto Dirigenziale del 07_08_2001- navi chimichi
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 - Modifica attestato corso di sicurezza per navi cisterna adibite al traspor.pdf;Decreto Dirigenziale del 07_08_2001- navi gas liqu
;07-08-2001;Decreto Dirigenziale;;;;;;D.D. 7 agosto 2001 - Modifica attestato corso di sopravvivenza e salvataggio.pdf;Decreto Dirigenziale del 07_08_2001- salvataggio i
;08-09-2017;Decreto Dirigenziale;;;;;;DM 8 settembre 2017 accordo affidamento BV.pdf;Decreto dirigenziale del 08_09_2017
;08-09-2017;Decreto Dirigenziale;;;;;;DM 8 settembre 2017 accordo affidamento RINA.pdf;Decreto dirigenziale del 08_09_2017
262;08-09-2020;Decreto Dirigenziale;;1318;;ITOLO;;M_DIP.TPL_.REGISTRO DECRETI(R).0000262.08-09-2020.pdf;Decreto dirigenziale del 08_09_2020 n_ 262
;10-01-2012;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_10-01-2012_all_1.pdf;Decreto Dirigenziale del 10_01_2012
;12-11-2001;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_12-11-2001_all_1.pdf;Decreto Dirigenziale del 12_11_2001
;13-12-2021;Decreto Dirigenziale;;;;;;Decreto.0000500.14-12-2021.pdf;Decreto Dirigenziale del 13 dicembre 2021
;15-12-2016;Decreto Dirigenziale;;;;;;allegato 1 al DD 15 dicembre 2016.pdf;Decreto dirigenziale del 15_12_2016
;15-12-2016;Decreto Dirigenziale;;;;;;DD 15 dicembre 2016.pdf;Decreto dirigenziale del 15_12_2016
;17-12-2007;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_17-12-2007_all_1.pdf;Decreto Dirigenziale del 17_12_2007
;18-04-2018;Decreto Dirigenziale;;;;;;Decreto Dirigenziale 18 aprile 2018.pdf;Decreto dirigenziale del 18 aprile 2018
;19-06-2001;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_19-06-2001_all_1.pdf;Decreto Dirigenziale del 19_06_2001
;20-05-2004;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_20-05-2004_all_1.pdf;Decreto Dirigenziale del 20_05_2004
;21-03-2019;Decreto Dirigenziale;;;;;;DD 21 marzo 2019 - autorizzazione ABS.pdf;Decreto Dirigenziale del 21 marzo 2019
;23-09-2021;Decreto Dirigenziale;;;;;;Decreto RINNOVO autorizzazione RINA Services 23-09-2021 pubblicato in GURI.pdf;Decreto Dirigenziale del 23_09_2021
;25-01-2012;Decreto Dirigenziale;;;;;;Allegato A.pdf;Decreto Dirigenziale del 25_01_2012
;25-01-2012;Decreto Dirigenziale;;;;;;Allegato B.pdf;Decreto Dirigenziale del 25_01_2012
;25-01-2012;Decreto Dirigenziale;;;;;;Decreto Dirigenziale 25 gennaio 2012 su Gazzetta Ufficiale.pdf;Decreto Dirigenziale del 25_01_2012
183;25-05-2020;Decreto Dirigenziale;;1315;1;ITOLO;;DD 183 TPL PAG. GIUGNO-OTTOBRE 2020.pdf;Decreto dirigenziale del 25_05_2020 n_ 183
;25-11-2011;Decreto Dirigenziale;;;;;;Decreto Dirigenziale 25 novembre 2011.pdf;Decreto dirigenziale del 25_11_2011
90;27-03-2020;Decreto Dirigenziale;;1315;1;ITOLO;;RD 90 27-03-2020.pdf;Decreto Dirigenziale del 27_03_2020 N_ 90
109;27-04-2020;Decreto Dirigenziale;;1315;1;ITOLO;;DD. 109 pag. Mensilità di Aprile 2020.pdf;Decreto Dirigenziale del 27_04_2020 N_ 109
;28-01-2008;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-01-2008_all_1.pdf;Decreto Dirigenziale del 28_01_2008
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_1.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_2.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_3.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_4.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_5.pdf;Decreto Dirigenziale del 28_07_2009
